Re,S,Lambda,regime,converged,viscosity_ratio
750,0.005,0.0,turbulent,True,21.15569297116212
750,0.005,0.01,turbulent,True,38.0822527543006
750,0.005,0.05,turbulent,True,18.546433584706765
750,0.005,0.1,turbulent,True,27.663053336851856
750,0.005,0.25,turbulent,True,20.124562758013887
750,0.005,0.5,turbulent,True,10.919377934960067
750,0.005,1.0,laminar,True,8.3090707280233
750,0.005,2.0,laminar,True,7.205418510236476
750,0.005,5.0,laminar,True,9.4271448860014
750,0.01,0.0,turbulent,True,21.15569297116212
750,0.01,0.01,turbulent,True,39.12921894007261
750,0.01,0.05,turbulent,True,35.72910721879619
750,0.01,0.1,turbulent,True,18.404465025539416
750,0.01,0.25,turbulent,True,16.28095924731394
750,0.01,0.5,turbulent,True,14.210226556352984
750,0.01,1.0,turbulent,False,18.82764548026229
750,0.01,2.0,turbulent,True,11.239422482194806
750,0.01,5.0,turbulent,True,12.523199114833822
750,0.05,0.0,turbulent,True,21.15569297116212
750,0.05,0.01,turbulent,True,21.14456183664961
750,0.05,0.05,turbulent,True,21.107014696478245
750,0.05,0.1,turbulent,True,21.06729659935086
750,0.05,0.25,turbulent,True,20.970405977888934
750,0.05,0.5,turbulent,True,20.851381620487714
750,0.05,1.0,turbulent,True,20.70174759747502
750,0.05,2.0,turbulent,True,20.58030062273991
750,0.05,5.0,turbulent,True,20.650521116874934
750,0.1,0.0,turbulent,True,21.15569297116212
750,0.1,0.01,turbulent,True,21.155349055907685
750,0.1,0.05,turbulent,True,21.154018185307773
750,0.1,0.1,turbulent,True,21.152457854118484
750,0.1,0.25,turbulent,True,21.14808321858603
750,0.1,0.5,turbulent,True,21.14181453650765
750,0.1,1.0,turbulent,True,21.13232536048922
750,0.1,2.0,turbulent,True,21.1215525583644
750,0.1,5.0,turbulent,True,21.11507393524989
750,0.5,0.0,turbulent,True,21.15569297116212
750,0.5,0.01,turbulent,True,21.155525726825168
750,0.5,0.05,turbulent,True,21.154861309465257
750,0.5,0.1,turbulent,True,21.154043034942077
750,0.5,0.25,turbulent,True,21.151719404204638
750,0.5,0.5,turbulent,True,21.148248018130577
750,0.5,1.0,turbulent,True,21.142438753006477
750,0.5,2.0,turbulent,True,21.134424310726487
750,0.5,5.0,turbulent,True,21.12445073031144
1000,0.005,0.0,turbulent,True,51.595340001352284
1000,0.005,0.01,turbulent,True,48.141781053910876
1000,0.005,0.05,turbulent,True,39.4667863282196
1000,0.005,0.1,turbulent,True,20.6392083093108
1000,0.005,0.25,turbulent,True,15.903032694445763
1000,0.005,0.5,turbulent,True,11.677424860691374
1000,0.005,1.0,laminar,True,7.868265050428173
1000,0.005,2.0,laminar,False,6.313833561053516
1000,0.005,5.0,laminar,False,7.357872257167332
1000,0.01,0.0,turbulent,True,51.595340001352284
1000,0.01,0.01,turbulent,True,49.766506595418626
1000,0.01,0.05,turbulent,True,44.47057160623343
1000,0.01,0.1,turbulent,True,39.916909766701394
1000,0.01,0.25,turbulent,True,19.460770175699103
1000,0.01,0.5,turbulent,True,16.53441043762532
1000,0.01,1.0,turbulent,True,13.586965400871764
1000,0.01,2.0,turbulent,True,11.650549673831824
1000,0.01,5.0,turbulent,True,12.26362828184846
1000,0.05,0.0,turbulent,True,51.595340001352284
1000,0.05,0.01,turbulent,True,51.58543194638928
1000,0.05,0.05,turbulent,True,51.54696183074364
1000,0.05,0.1,turbulent,True,51.501182846107035
1000,0.05,0.25,turbulent,True,51.377264187554296
1000,0.05,0.5,turbulent,True,51.20785757638065
1000,0.05,1.0,turbulent,True,50.97203485844407
1000,0.05,2.0,turbulent,True,50.753592655356194
1000,0.05,5.0,turbulent,True,50.8374398767407
1000,0.1,0.0,turbulent,True,51.595340001352284
1000,0.1,0.01,turbulent,True,51.594681081777104
1000,0.1,0.05,turbulent,True,51.5920772993248
1000,0.1,0.1,turbulent,True,51.58889553724293
1000,0.1,0.25,turbulent,True,51.57983903280443
1000,0.1,0.5,turbulent,True,51.56630826875574
1000,0.1,1.0,turbulent,True,51.54442911841767
1000,0.1,2.0,turbulent,True,51.51634774668286
1000,0.1,5.0,turbulent,True,51.49240185321426
1000,0.5,0.0,turbulent,True,51.595340001352284
1000,0.5,0.01,turbulent,True,51.594980454762926
1000,0.5,0.05,turbulent,True,51.593550662074364
1000,0.5,0.1,turbulent,True,51.591786299164454
1000,0.5,0.25,turbulent,True,51.58666158516407
1000,0.5,0.5,turbulent,True,51.57869862973245
1000,0.5,1.0,turbulent,True,51.564851247763855
1000,0.5,2.0,turbulent,True,51.544156669071604
1000,0.5,5.0,turbulent,True,51.51503114299053
