Re,S,Lambda,regime,converged,viscosity_ratio
500,0.005,0.1,turbulent,True,12.68950204066272
500,0.005,0.25,turbulent,False,14.037611881121709
500,0.005,0.5,laminar,True,8.798339740471253
500,0.005,1.0,laminar,True,8.893342905950277
500,0.005,2.0,turbulent,True,25.143094203475343
500,0.005,5.0,turbulent,True,28.448763708327522
500,0.01,0.0,turbulent,True,28.460309114779413
500,0.01,0.01,turbulent,True,27.9041137949504
500,0.01,0.05,turbulent,True,25.97171945724122
500,0.01,0.1,turbulent,True,23.869050059248014
500,0.01,0.25,turbulent,True,12.367290796707547
500,0.01,0.5,turbulent,True,18.382195488986362
500,0.01,1.0,turbulent,True,19.73043485528035
500,0.01,2.0,turbulent,True,26.25299760873075
500,0.01,5.0,turbulent,True,28.448802563625023
500,0.05,0.0,turbulent,True,28.460309114779413
500,0.05,0.01,turbulent,True,28.4572910858931
500,0.05,0.05,turbulent,True,28.445881965025695
500,0.05,0.1,turbulent,True,28.432980340505747
500,0.05,0.25,turbulent,True,28.402653537003925
500,0.05,0.5,turbulent,True,28.376391538694275
500,0.05,1.0,turbulent,True,28.391963637707807
500,0.05,2.0,turbulent,True,28.44622899382318
500,0.05,5.0,turbulent,True,28.44882686613841
500,0.1,0.0,turbulent,True,28.460309114779413
500,0.1,0.01,turbulent,True,28.46015115401936
500,0.1,0.05,turbulent,True,28.45953158332163
500,0.1,0.1,turbulent,True,28.45878227261313
500,0.1,0.25,turbulent,True,28.456698640053663
500,0.1,0.5,turbulent,True,28.453712483105942
500,0.1,1.0,turbulent,True,28.44975913284514
500,0.1,2.0,turbulent,True,28.448862765227656
500,0.1,5.0,turbulent,True,28.448826939312138
500,0.5,0.0,turbulent,True,28.460309114779413
500,0.5,0.01,turbulent,True,28.460214811694193
500,0.5,0.05,turbulent,True,28.459837732409696
500,0.5,0.1,turbulent,True,28.45936668301431
500,0.5,0.25,turbulent,True,28.45795690300108
500,0.5,0.5,turbulent,True,28.455552320322923
500,0.5,1.0,turbulent,True,28.4508254755254
500,0.5,2.0,turbulent,True,28.448788219971355
500,0.5,5.0,turbulent,True,28.448826940843738
750,0.005,0.0,turbulent,True,21.15569297116212
750,0.005,0.01,turbulent,True,37.935155539575895
750,0.005,0.05,turbulent,True,30.684534859673366
